setting,z0,z1,Da,composition,T0,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,effective_delta_rho,max_delta_rho,max_rho,max_densification_rate_1Myr,max_densification_rate_100kyr,max_densification_rate_50kyr,max_densification_rate_10kyr
,,,0.03,sammon_2021_deep_crust,1187.0,8075.999999999999,2862.585373529451,nan,nan,nan,nan,nan,nan,nan,nan,2.893745872122871,nan,nan,nan,nan
,,,0.03,sammon_2021_lower_crust,1187.0,8075.999999999999,2934.5570493802697,nan,nan,nan,nan,nan,nan,nan,nan,2.9609509012761466,nan,nan,nan,nan
,,,0.03,hacker_2015_md_xenolith,1187.0,8075.999999999999,2972.700281969107,nan,nan,nan,nan,nan,nan,nan,nan,2.9976171316780587,nan,nan,nan,nan
,,,0.03,mackwell_1998_maryland_diabase,1187.0,8075.999999999999,3031.440673443985,nan,nan,nan,nan,nan,nan,nan,nan,3.0538183318309846,nan,nan,nan,nan
,,,0.1,sammon_2021_deep_crust,1187.0,8075.999999999999,2862.585373529451,nan,nan,nan,nan,nan,nan,nan,nan,2.976932651463247,nan,nan,nan,nan
,,,0.1,sammon_2021_lower_crust,1187.0,8075.999999999999,2934.5570493802697,nan,nan,nan,nan,nan,nan,nan,nan,3.0525755556992205,nan,nan,nan,nan
,,,0.1,hacker_2015_md_xenolith,1187.0,8075.999999999999,2972.700281969107,nan,nan,nan,nan,nan,nan,nan,nan,3.0919005162080273,nan,nan,nan,nan
,,,0.1,mackwell_1998_maryland_diabase,1187.0,8075.999999999999,3031.440673443985,nan,nan,nan,nan,nan,nan,nan,nan,3.142501744753025,nan,nan,nan,nan
,,,0.3,sammon_2021_deep_crust,1187.0,8075.999999999999,2862.585373529451,nan,nan,nan,nan,nan,nan,nan,nan,3.110912916911706,nan,nan,nan,nan
,,,0.3,sammon_2021_lower_crust,1187.0,8075.999999999999,2934.5570493802697,nan,nan,nan,nan,nan,nan,nan,nan,3.195262475443444,nan,nan,nan,nan
,,,0.3,hacker_2015_md_xenolith,1187.0,8075.999999999999,2972.700281969107,nan,nan,nan,nan,nan,nan,nan,nan,3.237212781330964,nan,nan,nan,nan
,,,0.3,mackwell_1998_maryland_diabase,1187.0,8075.999999999999,3031.440673443985,171628.32566513302,93.0,1187.0,nan,nan,nan,0.007085663146555981,0.013814534738420647,3.274770015044421,nan,nan,nan,nan
,,,1.0,sammon_2021_deep_crust,1187.0,8075.999999999999,2862.585373529451,nan,nan,nan,nan,nan,nan,nan,nan,3.1954053670345592,nan,nan,nan,nan
,,,1.0,sammon_2021_lower_crust,1187.0,8075.999999999999,2934.5570493802697,152484.49689937988,93.0,1187.0,nan,nan,nan,0.012550437158825567,0.023512678773150775,3.284468159079151,nan,nan,nan,nan
,,,1.0,hacker_2015_md_xenolith,1187.0,8075.999999999999,2972.700281969107,128989.79795959192,93.0,1187.0,nan,nan,nan,0.04082663297314475,0.06522511436528378,3.326180594671284,nan,nan,nan,nan
,,,1.0,mackwell_1998_maryland_diabase,1187.0,8075.999999999999,3031.440673443985,117827.56551310263,93.0,1187.0,93.0,1187.0,169137.8275655131,0.06602359994341676,0.09625044964630503,3.3572059299523054,nan,nan,nan,nan
,,,3.0,sammon_2021_deep_crust,1187.0,8075.999999999999,2862.585373529451,nan,nan,nan,93.0,1187.0,151464.29285857172,nan,nan,3.245003361252581,nan,nan,nan,nan
