name,abbrev,endmember_names,formula_str,conversion_strs,X,d,W,sites,TC0,VD,SD,W_V
Garnet,gt,"['Pyrope', 'Almandine', 'Grossular', 'MgMajorite', 'NaMajorite']",Na[Na]Ca[Ca]Mg[Mg]Fe[Fe]Al[Al]Si[Si]O12,"['[0]=([Al]/2.0 - [Fe]/3.0 - [Ca]/3.0)', '[1]=[Fe]/3.0', '[2]=[Ca]/3.0', '[3]=([Mg] - 3.0*([Al]/2.0 - [Fe]/3.0 - [Ca]/3.0) - [Na]/2.0)/4.0', '[4]=[Na]/2.0']","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 21100.0, 21100.0, 22700.0, 22700.0, 61000.0, 22900.0, 22900.0, 60700.0, 71000.0]","[[3.0, [0.0, 0.0, 1.0, 0.0, 0.0]], [3.0, [1.0, 0.0, 0.0, 1.0, 0.333333333]], [3.0, [0.0, 1.0, 0.0, 0.0, 0.0]], [3.0, [0.0, 0.0, 0.0, 0.0, 0.666666666]], [1.0, [0.0, 0.0, 0.0, 1.0, 0.0]], [1.0, [1.0, 1.0, 1.0, 0.0, 0.0]], [1.0, [0.0, 0.0, 0.0, 0.0, 1.0]], [1.0, [0.0, 0.0, 0.0, 1.0, 1.0]], [1.0, [1.0, 1.0, 1.0, 0.0, 0.0]]]","[0.0, 7.5, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 40.14405, 0.0, 0.0, 0.0]","[0.0, 0.103, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Ferropericlase,fp,"['Periclase', 'Wuestite', 'AlphaNaO2']",Mg[Mg]Fe[Fe]Na[Na]Al[Al]O4,"['[0]=[Mg]/4.0', '[1]=[Fe]/4.0', '[2]=[Na]/2.0']","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[44000.0, 120000.0, 120000.0]","[[2, [1.0, 0.0, 0.0]], [2, [0.0, 1.0, 0.0]], [2, [0.0, 0.0, 1.0]], [2, [1.0, 0.0, 0.0]], [2, [0.0, 1.0, 0.0]], [2, [0.0, 0.0, 1.0]]]","[0.0, 191.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 53.5254, 0.0]","[0.044, 0.0, 0.0]"
CaFerritePhase,cf,"['MgCaFerrite', 'FeCaFerrite', 'NaCaFerrite']",Na[Na]Mg[Mg]Fe[Fe]Al[Al]Si[Si]O4,"['[0]=[Mg]', '[1]=[Fe]', '[2]=[Na]']","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.0, 61000.0, 61000.0]","[[1.0, [1.0, 0.0, 0.0]], [1.0, [0.0, 1.0, 0.0]], [1.0, [0.0, 0.0, 1.0]], [2.0, [1.0, 1.0, 0.5]], [2.0, [0.0, 0.0, 0.5]]]","[0.0, 5.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 13.38135, 0.0]","[0.0, 0.0, 0.0]"
Spinel,sp,"['MgSpinel', 'Hercynite']",Mg[Mg]Fe[Fe]Al8O16,"['[0]=[Mg]/4.0', '[1]=[Fe]/4.0']","[1.0, 1.0]","[1.0, 1.0]",[-500.0],"[[4.0, [0.75, 0.0]], [4.0, [0.0, 0.75]], [4.0, [0.25, 0.25]], [8.0, [0.125, 0.0]], [8.0, [0.0, 0.125]], [8.0, [0.875, 0.875]]]","[0.0, 5.0]","[0.0, 0.0]","[0.0, 53.5254]",[0.0]
Anorthite,an,['Anorthite'],Ca[Ca]Al2Si2O8,['[0]=[Ca]'],[1.0],[1.0],[],[],[0.0],[0.0],[0.0],[]
Albite,ab,['Albite'],Na[Na]AlSi3O8,['[0]=[Na]'],[1.0],[1.0],[],[],[0.0],[0.0],[0.0],[]
MgSpinel,mgsp,['MgSpinel'],Mg[Mg]Al8O16,['[0]=[Mg]/4.0'],[1.0],[1.0],[],[],[0.0],[0.0],[0.0],[]
Hercynite,herc,['Hercynite'],Fe[Fe]Al8O16,['[0]=[Fe]/4.0'],[1.0],[1.0],[],[],[5.0],[0.0],[53.5254],[]
Forsterite,fo,['Forsterite'],Mg[Mg]SiO4,['[0]=[Mg]/2.0'],[1.0],[1.0],[],[],[0.0],[0.0],[0.0],[]
Fayalite,fa,['Fayalite'],Fe[Fe]SiO4,['[0]=[Fe]/2.0'],[1.0],[1.0],[],[],[65.0],[0.0],[26.7627],[]
MgWadsleyite,wad,['MgWadsleyite'],Mg[Mg]SiO4,['[0]=[Mg]/2.0'],[1.0],[1.0],[],[],[0.0],[0.0],[0.0],[]
FeWadsleyite,fwad,['FeWadsleyite'],Fe[Fe]SiO4,['[0]=[Fe]/2.0'],[1.0],[1.0],[],[],[5.0],[0.0],[26.7627],[]
MgRingwoodite,ring,['MgRingwoodite'],Mg[Mg]SiO4,['[0]=[Mg]/2.0'],[1.0],[1.0],[],[],[0.0],[0.0],[0.0],[]
FeRingwoodite,fring,['FeRingwoodite'],Fe[Fe]SiO4,['[0]=[Fe]/2.0'],[1.0],[1.0],[],[],[5.0],[0.0],[26.7627],[]
Enstatite,en,['Enstatite'],Mg[Mg]Si2O6,['[0]=[Mg]/2.0'],[1.0],[1.0],[],[],[0.0],[0.0],[0.0],[]
Ferrosilite,fs,['Ferrosilite'],Fe[Fe]Si2O6,['[0]=[Fe]/2.0'],[1.0],[1.0],[],[],[5.0],[0.0],[26.7627],[]
MgTschermaks,ts,['MgTschermaks'],Mg[Mg]Al2SiO6,['[0]=[Mg]'],[1.0],[1.0],[],[],[0.0],[0.0],[0.0],[]
OrthoDiopside,odi,['OrthoDiopside'],Ca[Ca]MgSi2O6,['[0]=[Ca]'],[1.0],[1.0],[],[],[0.0],[0.0],[0.0],[]
Diopside,di,['Diopside'],Ca[Ca]MgSi2O6,['[0]=[Ca]'],[1.0],[1.0],[],[],[0.0],[0.0],[0.0],[]
Hedenbergite,hed,['Hedenbergite'],Ca[Ca]FeSi2O6,['[0]=[Ca]'],[1.0],[1.0],[],[],[5.0],[0.0],[13.38135],[]
Clinoenstatite,cen,['Clinoenstatite'],Mg[Mg]Si2O6,['[0]=[Mg]/2.0'],[1.0],[1.0],[],[],[0.0],[0.0],[0.0],[]
CaTschermaks,cts,['CaTschermaks'],Ca[Ca]Al2SiO6,['[0]=[Ca]'],[1.0],[3.5],[],[],[0.0],[0.0],[0.0],[]
Jadeite,jd,['Jadeite'],Na[Na]AlSi2O6,['[0]=[Na]'],[1.0],[1.0],[],[],[0.0],[0.0],[0.0],[]
HPClinoenstatite,c2/c,['HPClinoenstatite'],Mg[Mg]Si2O6,['[0]=[Mg]/2.0'],[1.0],[1.0],[],[],[0.0],[0.0],[0.0],[]
HPClinoferrosilite,fc2/c,['HPClinoferrosilite'],Fe[Fe]Si2O6,['[0]=[Fe]/2.0'],[1.0],[1.0],[],[],[5.0],[0.0],[26.7627],[]
CaPerovskite,ca-pv,['CaPerovskite'],Ca[Ca]SiO3,['[0]=[Ca]'],[1.0],[1.0],[],[],[0.0],[0.0],[0.0],[]
