setting,L0,z0,z1,As,hr0,k,Ts,Tlab,Da,composition,T0,T1,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,qs0,qs1,effective_delta_rho,max_delta_rho,max_rho,max_densification_rate_1Myr,max_densification_rate_100kyr,max_densification_rate_50kyr,max_densification_rate_10kyr
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,30.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.6027759047083,68738.73873873876,18746.29135135136,1217.850876571485,21694.59405405408,1290.696354533601,79549.54954954963,0.09194390774252162,0.0801837539800576,0.03518593993328891,0.06150113984005978,3.4118526703112146,13.042744008386743,13.065531523065069,13.065609466555866,13.065609466555866
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,30.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6226496585246,58678.67867867861,16002.731891891874,1159.604905500941,19715.409369369354,1240.6235869129005,72292.29229229223,0.09194390774252162,0.0801837539800576,0.06488401877843769,0.09917556077201795,3.449527091243173,13.813153037767666,13.836120752045195,13.836207192043354,13.836207192043354
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,100.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.003677883709,71291.29129129139,19442.418378378406,1234.0926334972467,20015.69945945949,1247.9128135321914,73393.3933933935,0.09194390774252162,0.0801837539800576,0.020570192065802077,0.029143139314633526,3.3794946697857875,17.389448205843138,17.452861239559248,17.45288196570527,17.45288196570527
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,100.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.03086860581,108000.0,30000.0,1293.96208621351,21421.60306306306,1283.5051937586231,78548.54854854853,0.09194390774252162,0.0801837539800576,nan,nan,3.286119556933189,14.388428861031073,14.465468992370397,14.466006225225046,14.466006225225046
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,100.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.6027759047083,66736.73673673676,18200.309369369374,1205.5265807209375,20193.143603603618,1252.271875936278,74044.04404404409,0.09194390774252162,0.0801837539800576,0.04890456320149695,0.07398883641378973,3.4243403668849455,18.81875856584614,18.87726897325135,18.877397865117025,18.877397865117025
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,100.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6226496585246,55975.97597597596,15265.656216216214,1145.524157502673,18486.949909909934,1211.9514183293047,67787.78778778788,0.09194390774252162,0.0801837539800576,0.0702247413619383,0.10050359785038498,3.4508551283250783,19.791235956819843,19.821230380853798,19.821841330379275,19.821841330379275
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,300.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.003677883709,68588.58858858854,18705.342702702692,1216.9139193797826,19101.179639639628,1226.0569991896164,70040.04004004,0.09194390774252162,0.0801837539800576,0.02520149544463014,0.03020602898401359,3.3805575594551676,24.576286565616286,24.715692582979237,24.71590357635325,24.71590357635325
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,300.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.03086860581,108000.0,30000.0,1293.96208621351,20466.134594594583,1259.053252833057,75045.045045045,0.09194390774252162,0.0801837539800576,nan,nan,3.295075115245512,20.448124495339492,20.529239275261567,20.531333333056498,20.531333333056498
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,300.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.6027759047083,65885.88588588596,17968.267027027046,1200.3990551450036,19387.820180180195,1232.7973703842013,71091.09109109113,0.09194390774252162,0.0801837539800576,0.05721666449760866,0.07478484545883735,3.425136375929992,26.720157922536902,26.940251509654114,26.94287333121835,26.94287333121835
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,300.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6226496585246,55525.52552552555,15142.810270270276,1143.241907137087,17927.31837837838,1199.5010274278998,65735.73573573574,0.09194390774252162,0.0801837539800576,0.07387164239043319,0.10013925056691786,3.450490781037839,28.11677038544381,28.17587458189041,28.178756935465437,28.178756935465437
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1000.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.003677883709,66786.78678678685,18213.958918918936,1205.830248791854,18541.54810810812,1213.1865798068839,67987.98798798803,0.09194390774252162,0.0801837539800576,0.026900901012020473,0.030512138286986623,3.3808636687581415,34.160463977463515,34.868495857679996,34.87538162498732,34.87538162498732
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1000.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.03086860581,108000.0,30000.0,1293.96208621351,20002.04990990993,1247.5790946435409,73343.34334334341,0.09194390774252162,0.0801837539800576,nan,nan,3.2954667249905065,28.63022758020381,28.93395163518433,28.934826227543276,28.934826227543276
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1000.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.6027759047083,65235.23523523511,17790.822882882847,1196.5223994286437,18869.137297297253,1220.6740416629382,69189.18918918903,0.09194390774252162,0.0801837539800576,0.062005914028779814,0.07500893524730623,3.42536046571846,34.908446674935796,36.48674111254296,36.60282352935172,36.60282352935172
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,1000.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6226496585246,55325.325325325306,15088.212072072067,1142.2334927321485,17640.677837837826,1193.2722031017665,64684.68468468464,0.09194390774252162,0.0801837539800576,0.07557852804571308,0.0997827362924153,3.4501342667635693,33.27733179428638,35.25819845599361,35.41732453135671,35.41732453135671
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3000.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.003677883709,66086.08608608619,18022.865225225254,1201.599612650643,18336.804864864906,1208.573506027058,67237.23723723738,0.09194390774252162,0.0801837539800576,0.027382970453660824,0.03055549817463099,3.3809070248681437,42.81977290414086,43.79806251567216,43.82491786570443,43.82491786570443
